#NodeName,Shelf/Slot/Port,Equipment(Type),Wavelength(Lambda),Origin(Flag),Parameter,Actual Power,CTP Loss Threshold,DHI
Site3,2.0/4.0/,LINEWL,1546.92 (COM Power),,,-50.0 (OPWR),,RED
Site3,2.0/4.0/11.0,LINE(80-WXC-C) (DROP TX),,IMPORTED,Channel Power,-10.1,-10.1,YELLOW
Site3,2.0/4.0/13.0,LINE(80-WXC-C) (COM RX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,3.0/2.0/7.0,LINE(OSC-CSM) (OSC TX),,IMPORTED,OSC Power,-11.0,-11.0,YELLOW
Site3,3.0/3.0/2.0,LINE(OPT-PRE) (COM TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,3.0/4.0/,LINEWL,1531.12 (COM Power),,,-50.0 (OPWR),,RED
Site3,3.0/4.0/,LINEWL,1530.33 (COM Power),,,-21.7 (OPWR),,RED
Site3,3.0/4.0/11.0,LINE(80-WXC-C) (DROP TX),,IMPORTED,Channel Power,-10.1,-10.1,YELLOW
Site3,3.0/4.0/,LINEWL,1531.12 (DROP Power),,,-10.1 (OPWR),,RED
Site3,3.0/4.0/13.0,LINE(80-WXC-C) (COM RX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,3.0/4.0/,LINEWL,1531.12 (ADD Power),,,-50.0 (OPWR),,RED
Site3,4.0/2.0/7.0,LINE(OSC-CSM) (OSC TX),,IMPORTED,OSC Power,-11.1,-11.0,RED
Site3,4.0/3.0/6.0,LINE(OPT-AMP-C) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,4.0/4.0/,LINEWL,1560.61 (COM Power),,,-21.2 (OPWR),,RED
Site3,4.0/4.0/,LINEWL,1546.12 (COM Power),,,-21.3 (OPWR),,RED
Site3,4.0/4.0/,LINEWL,1543.73 (COM Power),,,-21.2 (OPWR),,RED
Site3,4.0/4.0/,LINEWL,1542.94 (COM Power),,,-21.2 (OPWR),,RED
Site3,4.0/4.0/,LINEWL,1530.33 (COM Power),,,-21.2 (OPWR),,RED
Site3,4.0/4.0/11.0,LINE(80-WXC-C) (DROP TX),,IMPORTED,Channel Power,-10.3,-10.3,YELLOW
Site3,4.0/4.0/,LINEWL,1560.61 (DROP Power),,,-10.3 (OPWR),,RED
Site3,4.0/4.0/13.0,LINE(80-WXC-C) (COM RX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,4.0/4.0/,LINEWL,1560.61 (ADD Power),,,-4.7 (OPWR),,RED
Site4,1.0/2.0/1.0,LINE(OPT-EDFA-24) (COM RX),,IMPORTED,Channel LOS Threshold,-50.0,-20.2,RED
Site4,1.0/2.0/5.0,LINE(OPT-EDFA-24) (LINE RX),,IMPORTED,Channel LOS Threshold,-34.4,-20.5,RED
Site4,1.0/2.0/6.0,LINE(OPT-EDFA-24) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
