#NodeName,Shelf/Slot/Port,Equipment(Type),Wavelength(Lambda),Origin(Flag),Parameter,ANS Value,CardReading,DHI
Site3,4.0/4.0/3.0,LINE(80-WXC-C) (EAD 3),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,4.0/4.0/4.0,LINE(80-WXC-C) (EAD 4),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,4.0/4.0/5.0,LINE(80-WXC-C) (EAD 5),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,4.0/4.0/6.0,LINE(80-WXC-C) (EAD 6),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,4.0/4.0/7.0,LINE(80-WXC-C) (EAD 7),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,4.0/4.0/8.0,LINE(80-WXC-C) (EAD 8),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,4.0/4.0/9.0,LINE(80-WXC-C) (AD),,IMPORTED,Channel LOS Threshold,-12.1,,RED
Site4,1.0/2.0/6.0,LINE(OPT-EDFA-24) (LINE TX),,IMPORTED,Tilt,-0.7,,YELLOW
Site4,1.0/2.0/6.0,LINE(OPT-EDFA-24) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site4,1.0/5.0/6.0,LINE(OPT-EDFA-17) (LINE TX),,IMPORTED,Tilt,-0.7,,YELLOW
Site4,1.0/5.0/6.0,LINE(OPT-EDFA-17) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site4,1.0/6.0/2.0,LINE(OPT-RAMP-C) (COM TX),,IMPORTED,Channel Power,-13.0,,RED
Site4,1.0/6.0/8.0,LINE(OPT-RAMP-C) (DC TX),,IMPORTED,Channel Power,-4.6,,RED
Site4,1.0/6.0/10.0,LINE(OPT-RAMP-C) (RAMAN TX),,IMPORTED,Gain,8.5,,RED
Site4,1.0/6.0/10.0,LINE(OPT-RAMP-C) (RAMAN TX),,IMPORTED,Raman Ratio,37.0,,RED
Site4,1.0/6.0/10.0,LINE(OPT-RAMP-C) (RAMAN TX),,IMPORTED,Raman Total Power,400.0,,RED
Site5,1.0/2.0/2.0,LINE(OPT-RAMP-C) (COM TX),,IMPORTED,Channel Power,-13.0,,RED
Site5,1.0/2.0/8.0,LINE(OPT-RAMP-C) (DC TX),,IMPORTED,Channel Power,-4.6,,RED
Site5,1.0/2.0/10.0,LINE(OPT-RAMP-C) (RAMAN TX),,IMPORTED,Gain,8.5,,RED
Site5,1.0/2.0/10.0,LINE(OPT-RAMP-C) (RAMAN TX),,IMPORTED,Raman Ratio,37.0,,RED
Site5,1.0/2.0/10.0,LINE(OPT-RAMP-C) (RAMAN TX),,IMPORTED,Raman Total Power,400.0,,RED
Site5,1.0/4.0/6.0,LINE(OPT-AMP-17-C) (LINE TX),,IMPORTED,Gain,17.0,,RED
Site5,1.0/4.0/6.0,LINE(OPT-AMP-17-C) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site5,1.0/5.0/2.0,LINE(40-SMR1-C) (EXP TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site5,1.0/5.0/8.0,LINE(40-SMR1-C) (DROP TX),,IMPORTED,Channel Power,-10.5,,RED
Site5,1.0/5.0/10.0,LINE(40-SMR1-C) (LINE TX),,IMPORTED,Channel Power,-16.0,,RED
Site5,1.0/7.0/2.0,LINE(40-SMR1-C) (EXP TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site5,1.0/7.0/7.0,LINE(40-SMR1-C) (ADD RX),,IMPORTED,Channel LOS Threshold,-10.3,-15.0,RED
Site5,1.0/7.0/8.0,LINE(40-SMR1-C) (DROP TX),,IMPORTED,Channel Power,-9.8,,RED
Site5,1.0/7.0/10.0,LINE(40-SMR1-C) (LINE TX),,IMPORTED,Channel Power,-14.3,,RED
Site6,1.0/2.0/7.0,LINE(OSC-CSM) (OSC TX),,IMPORTED,OSC Power,-11.0,,RED
Site6,1.0/3.0/2.0,LINE(OPT-PRE) (COM TX),,IMPORTED,Channel Power,-2.0,,RED
Site6,1.0/4.0/10.0,LINE(80-WXC-C) (COM),,IMPORTED,Channel Power,-15.2,,RED
Site6,1.0/4.0/11.0,LINE(80-WXC-C) (DROP TX),,IMPORTED,Channel Power,-10.9,,RED
Site6,1.0/4.0/13.0,LINE(80-WXC-C) (COM RX),,IMPORTED,Channel Power,-2.0,,RED
Site6,1.0/4.0/9.0,LINE(80-WXC-C) (AD),,IMPORTED,Channel LOS Threshold,-12.1,,RED
